Row-names,Symbol,logFC,adj-P-Val,data
AC016745.3,NA,-0.107309365,0.900394528, 
AC016747.3,NA,0.454385444,0.888578991, 
AC016757.3,NA,-2.093737744,0.335750525, 
AC016768.1,NA,0,1, 
AC016831.6,NA,0.314885242,0.913600052, 
AC016831.7,NA,-0.084024564,1, 
AC016907.3,NA,0.001243155,1, 
AC016910.1,NA,-0.680989624,0.886048504, 
AC016995.3,NA,0,1, 
AC017002.1,NA,-0.814004975,0.660826226, 
AC017002.2,NA,-0.362062142,0.893349117, 
AC017002.4,NA,0,1, 
AC017006.2,NA,0,1, 
AC017006.3,NA,-0.237898605,0.758400016, 
AC017048.2,NA,0,1, 
AC017074.2,NA,-0.130649487,0.984608961, 
AC017104.2,NA,-0.107309365,0.9684976, 
AC017104.6,NA,-1.225754556,0.674790127, 
AC017116.11,NA,0.176954812,0.845523361, 
AC018359.1,NA,0.361048967,0.683623896, 
AC018462.2,NA,-0.242110125,0.844509941, 
AC018470.1,NA,-0.087678135,0.970760168, 
AC018470.4,NA,-1.486614661,0.716558148, 
AC018495.3,NA,-0.483092257,0.685735204, 
AC018638.1,NA,-0.569698594,0.836638243, 
AC018685.1,NA,-0.477653136,0.893213399, 
AC018685.2,NA,-3.30165253,0.042689754, 
AC018696.5,NA,-1.324128772,0.240862439, 
AC018705.5,NA,0,1, 
AC018720.10,NA,-0.858339966,0.763639563, 
AC018737.3,NA,-0.119965315,0.98650888, 
AC018755.1,NA,-0.333333333,0.684518091, 
AC018755.16,NA,0.745988679,0.774143129, 
AC018755.2,NA,-0.872419765,0.707659167, 
AC018766.4,NA,0.055712732,1, 
AC018766.5,NA,-0.381109534,0.867887217, 
AC018766.6,NA,0.330482024,0.783190773, 
AC018799.1,NA,0.346932538,0.779208171, 
AC018804.6,NA,0.508905977,0.777788963, 
AC018866.1,NA,0,1, 
AC018880.1,NA,-0.443838048,0.846514012, 
AC018890.4,NA,-0.723308334,0.728508678, 
AC018890.6,NA,0.138196532,0.915071213, 
AC018892.3,NA,0,1, 
AC018892.9,NA,0,1, 
AC019100.3,NA,0,1, 
AC019118.2,NA,-0.001156345,1, 
AC019118.3,NA,-0.197154664,0.926230088, 
AC019171.1,NA,0,1, 
AC019172.2,NA,-0.374285583,0.931030215, 
AC019181.2,NA,-0.073015595,1, 
AC019185.4,NA,-0.038492406,1, 
AC019186.1,NA,0.161924564,0.860032351, 
AC019221.4,NA,-0.230786046,0.98650888, 
AC020571.3,NA,0.766759076,0.791334007, 
AC020629.1,NA,-0.210880158,0.685735204, 
AC020663.1,NA,0,1, 
AC020743.3,NA,0,1, 
AC020907.1,NA,-0.799330101,0.823392183, 
AC020907.2,NA,-0.119965315,1, 
AC020910.2,NA,0.136352125,1, 
AC020922.1,NA,-0.396344608,0.679936094, 
AC021016.6,NA,0.451838731,0.76826046, 
AC021188.4,NA,-1.198008653,0.709415203, 
AC021218.2,NA,-0.658949245,0.835390962, 
AC021224.1,NA,-0.134995673,1, 
AC021860.1,NA,0.029584956,1, 
AC022007.5,NA,0.926136954,0.663167985, 
AC022182.1,NA,-0.538890454,0.657202052, 
AC022182.3,NA,0.67175817,0.828858984, 
AC022201.4,NA,-0.1949875,0.788504015, 
AC022210.2,NA,-0.169570763,0.990447366, 
AC022311.1,NA,-0.459503874,0.953077492, 
AC022400.2,NA,1.571651761,0.630322219, 
AC022498.1,NA,0.119465891,0.901411345, 
AC022596.2,NA,-1.798538606,0.354354024, 
AC022596.6,NA,-2.766353939,0.149397194, 
AC022816.2,NA,-0.119965315,0.880075147, 
AC023137.2,NA,0,1, 
AC023347.1,NA,-0.210756072,0.775319922, 
AC023490.1,NA,0.206633803,1, 
AC023490.2,NA,0,1, 
AC023590.1,NA,-1.036527813,0.32572629, 
AC023669.1,NA,-0.087678135,0.930729371, 
AC024028.1,NA,-0.220988337,0.768185457, 
AC024084.1,NA,0,1, 
AC024132.1,NA,-0.835579111,0.773145802, 
AC024560.2,NA,-2.131957471,0.186350817, 
AC024560.3,NA,-0.818142266,0.592793599, 
AC024580.1,NA,0.08525923,0.952207815, 
AC024592.12,NA,-0.409241296,0.928713156, 
AC024592.9,NA,0,1, 
AC024704.2,NA,-1.168206797,0.47384437, 
AC024937.2,NA,0,1, 
AC024937.4,NA,-0.462632942,0.789124869, 
AC024937.6,NA,0,1, 
AC025016.1,NA,0,1, 
AC025165.8,NA,-1.403800546,0.520747957, 
AC025171.1,NA,-0.118295051,1, 
AC025278.1,NA,0.126377589,1, 
AC025335.1,NA,-0.376401388,0.983487351, 
AC025627.7,NA,-0.095627049,0.917411976, 
